Auditor_id|Auditor_code|Auditor_name
1|AD|AD CHUN
2|ADAM|ADAM & CO.
3|ADD|ADRIAN YEO & CO
4|AF|AFRIZAN TARMILI KHAIRUL AZ SEC
5|AI|AI & PARTNERS
6|ALAN|ALAN YOON ASSOCIATES
7|ALI|MOHD ALI JAAFAR & CO
8|ANDY|ANDY TAN & ASSOCIATES
9|ARI|ARI & CO
10|ARIFIN|ARIFIN & CO.
11|AT|AT KONSORTIUM
12|ATAREK|ATAREK KAMIL IBRAHIM & CO
13|AZ|AZMAN AHMAD & CO
14|AZMI|AZMI ISMAIL & CO
15|B. L TAN|B. L. TAN & CO
16|C.L. Ooi|C.L. Ooi & Co
17|CC POH|CC POH & CO.
18|CH Yap|CH Yap & Co
19|CHENG|CHENG & CO.
20|CHONG|CHONG & CO.
21|CHOOI|CHRISTOPHER CHOOI & CO.
22|CHRIS|CHRISTOPHER SANJAY
23|CHUA|B.G. CHUA & CO.
24|CSTeh|C.S.TEH & CO.
25|ELLEN|ELLEN LOO & CO.
26|EMC|EMC & ASSOCIATES (AF 1172)
27|EY|ERNST & YOUNG
28|FKL|FKL & ASSOCIATES
29|GK|GK & ASSOCIATES
30|GMZ|GOMEZ & CO.
31|GTC|GTC Associates
32|HALIM|HALIM AHMAD & CO.
33|HEADIR|HEADIR & CO.
34|HENRY|HENRY TEE & CO
35|HK SOO|HK SOO & CO.
36|HLLEE|H.L.LEE & CO.
37|HORWATH|HORWATH
38|HUIZANI|HUIZANI & CO
39|Hakim|Hakim Noh & Co.
40|IMPANA|IMPANA & ASSOCIATES
41|IN|INPANA & ACC
42|ISWARA|ISWARA & CO.
43|K H|K H KWONG & CO
44|K.S.LAM|K.S.LAM & CO
45|KB|KB TAN
46|KC|KC Aw & Co
47|KEW|Y.S. KEW & CO
48|KH LING|LING KAM HOONG & CO
49|KHOO|KHOO & ASSO
50|KIAN|KIAN CHOONG
51|KS|KS & ASSOCIATES
52|KUZAIMI|KUZAIMI & CO
53|KWL|KOO WEE LONG & CO
54|KWONG|S Y KWONG, FOONG & CO.
55|Ket|Ket & Co.
56|L T|L T LIM & CO
57|LEE|LEE & ASSOCIATES
58|LES|LESMOND & ASSOCIATES
59|LESMOND|LESMOND LEE & CO.
60|LH|L.H LOO & CO
61|LT|LT CHING & ASSOCIATES
62|LUM|LUM & ASSOCIATES
63|MH|MH ASSOCIATES
64|Mustapha|Mustapha, Khoo & CO
65|N.Krishnan|N. Krishnan & Co
66|N.S|N.S Wong & Co
67|NAS|NASHARUDDIN WONG & CO.
68|NH KHOO|NH KHOO & CO.
69|OW|Messrs Ong & Wong
70|PETER|PETER OOI & CO
71|PS YAP|PS YAP & ASSOCIATES
72|PS YAP - A|PS YAP, ISMA & ASSOCIATES - ASI Division
73|RAZALEE|RAZALEE & CO.
74|RIDZUAN|RIDZUAN JOHARI & CO
75|ROGER|ROGER YUE, TAN & ASSOCIATES
76|RSM|RSM Robert Teo Kuan & Co.
77|S F YAP|S.F. YAP & CO.
78|SARINA|SARINA MOHAMAD & ASSOCIATES
79|SC|SHAN & CO.
80|SHARIHIN|SHARIHIN & ASS
81|SIVA|SIVA & ASSOCIATES
82|SL|SL LING & CO
83|ST.LIM|STEVEN LIM & ASSOCIATES
84|SYC|SAHIR YAP & CO.
85|Shin|SHIN & CO.
86|T CHELLA|T CHELLAPPAH & CO
87|TAM|TAM & ASSOCIATES
88|TAN|TAN CHIN FAT
89|TCH|TAN CHIN HUAT & CO
90|TCMK|TCMK ASSOCIATED
91|TE|T. E. LIM & CO.
92|THAM|Y.K. THAM & CO.
93|TKLIM|T.K.LIM & ASSOCIATES
94|VEELOO|VEELOO SINNASAMY & CO.
95|WAN|WAN NADZIR & CO
96|WWF|WONG WENG FOO & CO.
97|William|William C. H. Tan & Associates
98|Y.H. CHANG|Y.H. CHANG & PARTNERS
99|YC|YC LEE & CO
100|YEO|YEO & ASS
101|YK|Y.K. THAM & CO
102|YL|YONG & LEONARD
103|YM|YM CHEE & CO
104|YONG|K .K. YONG
105|ZAINAL|ZAINAL & CO
106|ZAM|ZAMZURI & CO.
107|jeffrey|JEFFREY & CO.
