taxagent_id,taxagent_code,taxagent_description
1,ADAM,ADAM TAX CONSULT
2,AL,AL AMBER TAXATION SDN. BHD.
3,ALAN,ALAN YOON ASSOCIATES
4,ASITAX,ASI TAXATION SDN. BHD.
5,CCL,CCL TAXATION SERVICES SDN. BHD.
6,CH Yap,CH Yap Taxation & Services Sdn Bhd
7,CHOOI,CHRISTOPHER CHOOI & CO.
8,DCK-SMITH,DCK-SMITH MANAGEMENT & CONSULTING (M) SDN. BHD.
9,EY,ERNST & YOUNG
10,GTC,GTC Associates
11,HCN,HIGH CORPORATE NETWORK SDN. BHD.
12,HENRY,HENRY TEE & CO
13,HLLEE,H.L.LEE & CO.
14,HT,HORWARTH KL TAX SDN. BHD.
15,Hakim,Hakim Noh & Co.
16,KB,K B Tan & Co
17,KH LING,LING KAM HOONG & CO
18,KT CHAN,MESSRS. KT CHAN & ASSOCIATES
19,KTS,KTS TAX CONSULTANCY SDN. BHD.
20,KWL,KOO WEE LONG & CO
21,LEE,LEE & ASSOCIATES
22,LESMOND,LESMOND LEE & CO.
23,LH,L.H LOO & CO
24,MAT,MAT & CHAN SDN. BHD.
25,MH,MH ASSOCIATES
26,N.S,N.S Wong & Co
27,NAS,NASHARUDDIN WONG & CO.
28,PANIR,PANIR CONSULTING
29,PRO,PROACTIVE TAX SERVICES SDN. BHD.
30,REVENUE,REVENUE MERCHANT CONSULTANTS (TAXATION) SDN. BHD.
31,SANJAY,SANJAY & ASSOCIATES
32,SEE,SEE HONG ASSOCIATES
33,SEKHAR,SEKHAR & TAN TAX SERVICES SDN. BHD.
34,SHG,SHG Management Services
35,SIVA,SIVA & ASSOCIATES
36,SJ GRANT,SJ GRANT THORNTON
37,TASK,TASK CONSULTANCY SERVICES SDN. BHD.
38,TAXAMATIC,TAXAMATIC TAX SERVICES SDN. BHD.
39,USAHA,USAHA KORPORAT TAX SERVICES SDN. BHD.
40,William,William C. H. Tan & Associates
41,YC,YC LEE & CO
42,YSB,YSB Consultants SB
43,kuzaimi,Kuzaimi & Co
