creditnote_id|creditnote_entrydate|creditnote_companyid|creditnote_confirmed|creditnote_taxrate|creditnote_amount|creditnote_calculatedtax|creditnote_total|creditnote_remark|creditnote_no|create_by
1|2018-01-03|90|t|6.00|50.00|0.00|50.00|""|CN01-01/18|8
2|2018-01-05|445|t|6.00|350.00|0.00|350.00|""|CN02-01/18|9
3|2018-01-09|258|t|6.00|100.00|6.00|106.00|""|CN03-01/18|7
4|2018-01-12|336|t|6.00|70.00|0.00|70.00|""|CN04-01/18|7
5|2018-01-23|399|t|6.00|50.00|0.00|50.00|""|CN05-01/18|7
6|2018-01-23|132|t|6.00|37.50|0.00|37.50|""|CN06-01/18|8
7|2018-02-07|693|t|6.00|150.00|0.00|150.00|""|CN01-02/18|9
8|2018-02-08|68|t|6.00|100.00|0.00|100.00|""|CN02-02/18|8
9|2018-02-08|594|t|6.00|225.00|7.50|232.50|""|CN03-02/18|9
10|2018-02-13|422|t|6.00|165.00|0.90|165.90|""|CN04-02/18|3
11|2018-02-14|601|t|6.00|15.00|0.00|15.00|""|CN05-02/18|9
12|2018-03-01|407|t|6.00|225.00|7.50|232.50|""|CN01-03/18|3
13|2018-03-01|385|t|6.00|225.00|7.50|232.50|""|CN02-03/18|3
14|2018-03-05|344|t|6.00|50.00|0.00|50.00|""|CN03-03/18|7
15|2018-03-05|611|t|6.00|130.00|0.00|130.00|""|CN04-03/18|9
16|2018-03-06|468|t|6.00|100.00|6.00|106.00|""|CN05-03/18|7
17|2018-03-07|799|t|6.00|2050.00|63.00|2113.00|""|CN06-03/18|3
18|2018-03-14|215|t|6.00|115.00|6.90|121.90|""|CN08-03/18|3
19|2018-03-15|364|t|6.00|3.00|0.00|3.00|""|CN09-03/18|7
20|2018-03-19|774|t|6.00|50.00|0.00|50.00|""|CN10-03/18|7
21|2018-03-20|549|t|6.00|440.00|20.40|460.40|""|CN11-03/18|9
22|2018-03-23|811|t|6.00|1210.00|0.00|1210.00|""|CN12-03/18|2
23|2018-03-28|806|t|6.00|50.00|0.00|50.00|""|CN13-03/18|3
24|2018-04-04|287|t|6.00|10.00|0.60|10.60|""|CN01-04/18|7
25|2018-04-04|470|t|6.00|30.00|1.80|31.80|""|CN02-04/18|7
26|2018-04-04|421|t|6.00|365.00|9.90|374.90|""|CN03-04/18|3
27|2018-04-10|55|t|6.00|3.00|0.00|3.00|""|CN04-04/18|12
28|2018-04-12|135|t|6.00|50.00|0.00|50.00|""|CN05-04/18|8
29|2018-04-17|593|t|6.00|240.00|8.40|248.40|""|CN06-04/18|9
30|2018-04-17|508|t|6.00|150.00|0.00|150.00|""|CN07-04/18|9
31|2018-04-19|202|t|6.00|350.00|9.00|359.00|""|CN08-04/18|12
32|2018-04-23|492|t|6.00|250.00|9.00|259.00|""|CN09-04/18|12
33|2018-05-03|366|t|6.00|50.00|0.00|50.00|""|CN01-05/18|7
34|2018-05-07|427|t|6.00|3.00|0.00|3.00|""|CN02-05/18|7
35|2018-05-10|693|t|6.00|50.00|0.00|50.00|""|CN03-05/18|12
36|2018-05-11|154|t|6.00|18.00|0.90|18.90|""|CN04-05/18|12
37|2018-05-11|170|t|6.00|150.00|0.00|150.00|""|CN05-05/18|8
38|2018-05-15|834|t|6.00|61.50|0.00|61.50|""|CN06-05/18|2
39|2018-05-17|550|t|6.00|150.00|0.00|150.00|""|CN07-05/18|9
40|2018-05-23|182|t|6.00|6.00|0.00|6.00|""|CN08-05/18|8
41|2018-05-24|249|t|6.00|350.00|9.00|359.00|""|CN09-05/18|7
42|2018-05-28|92|t|6.00|155.00|1.50|156.50|""|CN10-05/18|8
43|2018-05-30|155|t|6.00|40.00|2.40|42.40|""|CN11-05/18|4
44|2018-05-30|724|t|6.00|50.00|0.00|50.00|""|CN12-05/18|9
45|2018-05-31|162|t|6.00|560.00|33.60|593.60|""|CN13-05/18|4
46|2018-05-31|77|t|6.00|161.00|1.50|162.50|""|CN14-05/18|12
47|2018-06-05|201|t|0.00|525.00|0.00|525.00|""|CN01-06/18|12
48|2018-06-06|193|t|0.00|114.00|0.00|114.00|""|CN02-06/18|8
49|2018-06-08|608|t|0.00|150.00|0.00|150.00|""|CN03-06/18|9
